                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.5639,                 1.0805,                 1.5642,                0.90905,                0.95192,                 0.9402,                0.56739,                 1.2961,                 1.0219,                 1.4939,               0.003367,               0.003367,               0.003367
                     69,                 1.5164,                 1.0576,                 1.5217,                0.86241,                0.89579,                0.91545,                0.53434,                  1.418,                0.99626,                 1.5596,               0.003268,               0.003268,               0.003268
                     70,                 1.4616,                 1.0011,                 1.4997,                0.80273,                 0.9693,                0.93327,                0.51295,                 1.4271,                 1.0025,                 1.5774,               0.003169,               0.003169,               0.003169
                     71,                 1.5635,                 1.0035,                 1.5718,                0.95141,                0.93289,                0.96016,                0.57918,                 1.3014,                0.95642,                 1.4646,                0.00307,                0.00307,                0.00307
                     72,                 1.5197,                0.98981,                 1.5221,                0.95285,                0.96267,                0.96273,                0.58785,                 1.2768,                0.98055,                 1.4822,               0.002971,               0.002971,               0.002971
                     73,                 1.5602,                 1.0971,                 1.5843,                0.89394,                0.85714,                0.92857,                0.57601,                 1.2857,                0.93529,                 1.4593,               0.002872,               0.002872,               0.002872
                     74,                 1.5277,                 1.0281,                 1.5403,                0.87252,                0.97825,                0.94806,                0.61599,                 1.1998,                0.93989,                 1.5158,               0.002773,               0.002773,               0.002773
                     75,                 1.5507,                 1.0643,                 1.5325,                0.90855,                0.94642,                0.94828,                0.59364,                  1.247,                0.94716,                 1.4416,               0.002674,               0.002674,               0.002674
                     76,                 1.4668,                0.97831,                 1.5163,                0.86193,                0.95238,                0.93711,                0.61197,                 1.3089,                0.88123,                  1.457,               0.002575,               0.002575,               0.002575
                     77,                 1.4425,                0.93851,                 1.5105,                 0.8938,                0.95238,                0.96549,                 0.6529,                 1.2205,                0.89894,                 1.4454,               0.002476,               0.002476,               0.002476
                     78,                 1.4832,                0.97247,                 1.5325,                0.86731,                0.93429,                0.93755,                0.55833,                 1.3715,                0.92946,                 1.4843,               0.002377,               0.002377,               0.002377
                     79,                 1.3957,                0.87832,                 1.4241,                0.90745,                0.93434,                0.96544,                0.63263,                 1.2396,                0.84262,                 1.4546,               0.002278,               0.002278,               0.002278
                     80,                 1.4726,                 0.9377,                 1.4665,                0.90619,                 0.9205,                0.95751,                0.61847,                 1.2286,                0.90183,                  1.464,               0.002179,               0.002179,               0.002179
                     81,                 1.3438,                 0.9387,                  1.504,                0.86348,                 0.9036,                 0.9159,                0.58439,                 1.3451,                0.89799,                 1.5342,                0.00208,                0.00208,                0.00208
                     82,                 1.4239,                0.93536,                    1.5,                0.90354,                0.89257,                0.92203,                0.56405,                 1.4271,                0.89516,                 1.6438,               0.001981,               0.001981,               0.001981
                     83,                 1.4131,                0.91235,                  1.498,                0.89234,                0.90476,                0.91068,                 0.6006,                 1.3384,                0.91156,                 1.5879,               0.001882,               0.001882,               0.001882
                     84,                 1.3727,                0.95851,                 1.5267,                0.91107,                0.97619,                  0.962,                0.62182,                  1.217,                0.85778,                 1.4422,               0.001783,               0.001783,               0.001783
                     85,                 1.4684,                0.93639,                 1.5387,                0.91016,                0.96526,                0.95962,                0.60923,                 1.1934,                 0.8556,                 1.4175,               0.001684,               0.001684,               0.001684
                     86,                 1.3893,                 0.8972,                 1.3999,                0.94616,                0.95238,                0.96563,                0.59359,                 1.2492,                0.88263,                  1.446,               0.001585,               0.001585,               0.001585
                     87,                  1.414,                0.88556,                 1.4035,                0.90556,                      1,                0.95809,                0.61498,                 1.1996,                0.86123,                 1.4153,               0.001486,               0.001486,               0.001486
                     88,                 1.4076,                0.89538,                 1.4348,                0.86492,                0.91505,                0.95042,                0.64404,                 1.2094,                0.89379,                 1.3944,               0.001387,               0.001387,               0.001387
                     89,                 1.3759,                0.90058,                 1.4555,                 0.9014,                0.95238,                0.92588,                0.63636,                 1.3085,                0.86841,                 1.4584,               0.001288,               0.001288,               0.001288
                     90,                 1.3622,                0.87945,                 1.4849,                0.89563,                0.90476,                0.93603,                0.59512,                  1.364,                0.84453,                 1.4921,               0.001189,               0.001189,               0.001189
                     91,                 1.3388,                0.88879,                 1.4546,                0.90726,                0.95238,                0.93313,                0.59405,                 1.2932,                0.83377,                 1.4723,                0.00109,                0.00109,                0.00109
                     92,                 1.3284,                0.85222,                  1.413,                 0.8582,                0.86489,                0.92429,                0.56861,                 1.2897,                 0.8745,                 1.4687,               0.000991,               0.000991,               0.000991
                     93,                 1.3106,                0.89852,                 1.4213,                0.94104,                0.90476,                0.96509,                 0.6059,                 1.2377,                0.86628,                 1.4101,               0.000892,               0.000892,               0.000892
                     94,                 1.3443,                0.86458,                 1.3781,                0.95156,                0.93586,                 0.9723,                0.63336,                 1.2076,                0.86202,                 1.4095,               0.000793,               0.000793,               0.000793
                     95,                 1.2823,                0.83709,                 1.3694,                0.95184,                0.94157,                0.97619,                0.63998,                 1.2126,                0.82725,                 1.4164,               0.000694,               0.000694,               0.000694
                     96,                 1.2985,                0.84238,                 1.4143,                0.91023,                0.96613,                0.97771,                0.63858,                 1.2227,                0.80997,                 1.4132,               0.000595,               0.000595,               0.000595
                     97,                 1.3438,                0.86751,                 1.4237,                0.95429,                0.99446,                0.97591,                0.61557,                 1.2764,                0.82733,                 1.4667,               0.000496,               0.000496,               0.000496
                     98,                 1.4356,                0.87654,                 1.4489,                0.89757,                0.95238,                0.94903,                0.58658,                 1.3405,                 0.8731,                 1.5114,               0.000397,               0.000397,               0.000397
                     99,                 1.3693,                0.85109,                 1.4171,                0.95384,                0.98446,                0.97364,                0.59133,                 1.3031,                0.87478,                 1.4753,               0.000298,               0.000298,               0.000298
